開国	名詞,サ変接続,*,*,*,*,開国,カイコク,カイコク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
編む	動詞,自立,*,*,五段・マ行,基本形,編む,アム,アム
宮城	名詞,固有名詞,地域,一般,*,*,宮城,ミヤギ,ミヤギ
・	記号,一般,*,*,*,*,・,・,・
気仙沼	名詞,固有名詞,地域,一般,*,*,気仙沼,ケセンヌマ,ケセンヌマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
伝統	名詞,一般,*,*,*,*,伝統,デントウ,デントー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
地元	名詞,一般,*,*,*,*,地元,ジモト,ジモト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
、	記号,読点,*,*,*,*,、,、,、
手編み	名詞,一般,*,*,*,*,手編み,テアミ,テアミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
セーター	名詞,一般,*,*,*,*,セーター,セーター,セーター
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
生まれ変わり	動詞,自立,*,*,五段・ラ行,連用形,生まれ変わる,ウマレカワリ,ウマレカワリ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
福島	名詞,固有名詞,地域,一般,*,*,福島,フクシマ,フクシマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
土湯温泉	名詞,固有名詞,地域,一般,*,*,土湯温泉,ツチユオンセン,ツチユオンセン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
地熱	名詞,一般,*,*,*,*,地熱,チネツ,チネツ
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
産品	名詞,一般,*,*,*,*,産品,サンピン,サンピン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
ツアー	名詞,一般,*,*,*,*,ツアー,ツアー,ツアー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開発	名詞,サ変接続,*,*,*,*,開発,カイハツ,カイハツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
賑わい	名詞,一般,*,*,*,*,賑わい,ニギワイ,ニギワイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り戻そ	動詞,自立,*,*,五段・サ行,未然ウ接続,取り戻す,トリモドソ,トリモドソ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
産業	名詞,一般,*,*,*,*,産業,サンギョウ,サンギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
芽	名詞,一般,*,*,*,*,芽,メ,メ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
東北	名詞,固有名詞,地域,一般,*,*,東北,トウホク,トーホク
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
次々	副詞,助詞類接続,*,*,*,*,次々,ツギツギ,ツギツギ
と	助詞,副詞化,*,*,*,*,と,ト,ト
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
既に	副詞,一般,*,*,*,*,既に,スデニ,スデニ
二	名詞,数,*,*,*,*,二,ニ,ニ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
五	名詞,数,*,*,*,*,五,ゴ,ゴ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
数え	動詞,自立,*,*,一段,連用形,数える,カゾエ,カゾエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
被災地訪問	名詞,固有名詞,一般,*,*,*,被災地訪問,ヒサイチホウモン,ヒサイチホウモン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
度	名詞,非自立,副詞可能,*,*,*,度,タビ,タビ
、	記号,読点,*,*,*,*,、,、,、
地元	名詞,一般,*,*,*,*,地元,ジモト,ジモト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
情熱	名詞,一般,*,*,*,*,情熱,ジョウネツ,ジョーネツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
来年	名詞,副詞可能,*,*,*,*,来年,ライネン,ライネン
春	名詞,一般,*,*,*,*,春,ハル,ハル
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
八	名詞,数,*,*,*,*,八,ハチ,ハチ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
五	名詞,数,*,*,*,*,五,ゴ,ゴ
%	名詞,サ変接続,*,*,*,*,*
に当たる	助詞,格助詞,連語,*,*,*,に当たる,ニアタル,ニアタル
二	名詞,数,*,*,*,*,二,ニ,ニ
万	名詞,数,*,*,*,*,万,マン,マン
五	名詞,数,*,*,*,*,五,ゴ,ゴ
千	名詞,数,*,*,*,*,千,セン,セン
戸	名詞,接尾,助数詞,*,*,*,戸,コ,コ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
災害	名詞,一般,*,*,*,*,災害,サイガイ,サイガイ
公営住宅	名詞,固有名詞,一般,*,*,*,公営住宅,コウエイジュウタク,コウエイジュウタク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
完成	名詞,サ変接続,*,*,*,*,完成,カンセイ,カンセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
高台移転	名詞,固有名詞,一般,*,*,*,高台移転,タカダイイテン,タカダイイテン
も	助詞,係助詞,*,*,*,*,も,モ,モ
七	名詞,数,*,*,*,*,七,ナナ,ナナ
割	名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
工事	名詞,サ変接続,*,*,*,*,工事,コウジ,コージ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
完了	名詞,サ変接続,*,*,*,*,完了,カンリョウ,カンリョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
見込み	名詞,一般,*,*,*,*,見込み,ミコミ,ミコミ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
この	連体詞,*,*,*,*,*,この,コノ,コノ
春	名詞,一般,*,*,*,*,春,ハル,ハル
、	記号,読点,*,*,*,*,、,、,、
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ
全て	名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
漁港	名詞,一般,*,*,*,*,漁港,ギョコウ,ギョコー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
復旧	名詞,サ変接続,*,*,*,*,復旧,フッキュウ,フッキュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
来年	名詞,副詞可能,*,*,*,*,来年,ライネン,ライネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
全て	名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
水産加工	名詞,固有名詞,一般,*,*,*,水産加工,スイサンカコウ,スイサンカコー
施設	名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
再開	名詞,サ変接続,*,*,*,*,再開,サイカイ,サイカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指し	動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
農地	名詞,一般,*,*,*,*,農地,ノウチ,ノーチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
八	名詞,数,*,*,*,*,八,ハチ,ハチ
割	名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
作付け	名詞,一般,*,*,*,*,作付け,サクヅケ,サクズケ
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
生業	名詞,一般,*,*,*,*,生業,ナリワイ,ナリワイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
も	助詞,係助詞,*,*,*,*,も,モ,モ
本格	名詞,一般,*,*,*,*,本格,ホンカク,ホンカク
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ステージ	名詞,一般,*,*,*,*,ステージ,ステージ,ステージ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
入り	動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
今後	名詞,副詞可能,*,*,*,*,今後,コンゴ,コンゴ
五	名詞,数,*,*,*,*,五,ゴ,ゴ
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
・	記号,一般,*,*,*,*,・,・,・
創	名詞,固有名詞,一般,*,*,*,創,ソウ,ソー
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
期間	名詞,一般,*,*,*,*,期間,キカン,キカン
と	助詞,格助詞,引用,*,*,*,と,ト,ト
位置付け	動詞,自立,*,*,一段,連用形,位置付ける,イチヅケ,イチズケ
、	記号,読点,*,*,*,*,、,、,、
六	名詞,数,*,*,*,*,六,ロク,ロク
兆	名詞,数,*,*,*,*,兆,チョウ,チョー
五	名詞,数,*,*,*,*,五,ゴ,ゴ
千	名詞,数,*,*,*,*,千,セン,セン
億	名詞,数,*,*,*,*,億,オク,オク
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
財源	名詞,一般,*,*,*,*,財源,ザイゲン,ザイゲン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
被災地	名詞,固有名詞,一般,*,*,*,被災地,ヒサイチ,ヒサイチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自立	名詞,サ変接続,*,*,*,*,自立,ジリツ,ジリツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つながる	動詞,自立,*,*,五段・ラ行,基本形,つながる,ツナガル,ツナガル
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
福島	名詞,固有名詞,地域,一般,*,*,福島,フクシマ,フクシマ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
来年	名詞,副詞可能,*,*,*,*,来年,ライネン,ライネン
春	名詞,一般,*,*,*,*,春,ハル,ハル
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
区域	名詞,一般,*,*,*,*,区域,クイキ,クイキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
除く	動詞,自立,*,*,五段・カ行イ音便,基本形,除く,ノゾク,ノゾク
避難指示	名詞,固有名詞,一般,*,*,*,避難指示,ヒナンシジ,ヒナンシジ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解除	名詞,サ変接続,*,*,*,*,解除,カイジョ,カイジョ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
一人	名詞,固有名詞,一般,*,*,*,一人,イチジン,イチジン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
故郷	名詞,一般,*,*,*,*,故郷,コキョウ,コキョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
戻っ	動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
頂ける	動詞,自立,*,*,一段,基本形,頂ける,イタダケル,イタダケル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
、	記号,読点,*,*,*,*,、,、,、
廃炉	名詞,固有名詞,一般,*,*,*,廃炉,ハイロ,ハイロ
・	記号,一般,*,*,*,*,・,・,・
汚染水	名詞,固有名詞,一般,*,*,*,汚染水,オセンスイ,オセンスイ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
着実	名詞,形容動詞語幹,*,*,*,*,着実,チャクジツ,チャクジツ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
、	記号,読点,*,*,*,*,、,、,、
中間	名詞,一般,*,*,*,*,中間,チュウカン,チューカン
貯蔵	名詞,サ変接続,*,*,*,*,貯蔵,チョゾウ,チョゾー
施設	名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
建設	名詞,サ変接続,*,*,*,*,建設,ケンセツ,ケンセツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
除染	名詞,固有名詞,一般,*,*,*,除染,ジョセン,ジョセン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
一層	副詞,助詞類接続,*,*,*,*,一層,イッソウ,イッソー
加速	名詞,サ変接続,*,*,*,*,加速,カソク,カソク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
生活インフラ	名詞,固有名詞,一般,*,*,*,生活インフラ,セイカツインフラ,セイカツインフラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
復旧	名詞,サ変接続,*,*,*,*,復旧,フッキュウ,フッキュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
全力	名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
取り組ん	動詞,自立,*,*,五段・マ行,連用タ接続,取り組む,トリクン,トリクン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
「	記号,括弧開,*,*,*,*,「,「,「
明るい	形容詞,自立,*,*,形容詞・アウオ段,基本形,明るい,アカルイ,アカルイ
陽射し	名詞,一般,*,*,*,*,陽射し,ヒザシ,ヒザシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
見え	動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」	記号,括弧閉,*,*,*,*,」,」,」
EOS
EOS
大熊町	名詞,固有名詞,地域,一般,*,*,大熊町,オオクマチョウ,オオクマチョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
拠点	名詞,一般,*,*,*,*,拠点,キョテン,キョテン
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
動き出し	動詞,自立,*,*,五段・サ行,連用形,動き出す,ウゴキダシ,ウゴキダシ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
植物工場	名詞,固有名詞,一般,*,*,*,植物工場,ショクブツコウジョウ,ショクブツコウジョー
、	記号,読点,*,*,*,*,、,、,、
メガ	名詞,一般,*,*,*,*,メガ,メガ,メガ
ソーラー	名詞,一般,*,*,*,*,ソーラー,ソーラー,ソーラー
。	記号,句点,*,*,*,*,。,。,。
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
単なる	連体詞,*,*,*,*,*,単なる,タンナル,タンナル
復旧	名詞,サ変接続,*,*,*,*,復旧,フッキュウ,フッキュー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創り出し	動詞,自立,*,*,五段・サ行,連用形,創り出す,ツクリダシ,ツクリダシ
、	記号,読点,*,*,*,*,、,、,、
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノウセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
チャンス	名詞,一般,*,*,*,*,チャンス,チャンス,チャンス
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
正に	副詞,一般,*,*,*,*,正に,マサニ,マサニ
「	記号,括弧開,*,*,*,*,「,「,「
地方創生	名詞,固有名詞,一般,*,*,*,地方創生,チホウソウセイ,チホウソウセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
先駆け	名詞,サ変接続,*,*,*,*,先駆け,サキガケ,サキガケ
」	記号,括弧閉,*,*,*,*,」,」,」
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
被災地	名詞,固有名詞,一般,*,*,*,被災地,ヒサイチ,ヒサイチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
故郷	名詞,一般,*,*,*,*,故郷,コキョウ,コキョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ
、	記号,読点,*,*,*,*,、,、,、
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
熱意	名詞,一般,*,*,*,*,熱意,ネツイ,ネツイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
これから	副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ
も	助詞,係助詞,*,*,*,*,も,モ,モ
全力	名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
応援	名詞,サ変接続,*,*,*,*,応援,オウエン,オーエン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
地方創生	名詞,固有名詞,一般,*,*,*,地方創生,チホウソウセイ,チホウソウセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原動力	名詞,一般,*,*,*,*,原動力,ゲンドウリョク,ゲンドーリョク
。	記号,句点,*,*,*,*,。,。,。
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
「	記号,括弧開,*,*,*,*,「,「,「
情熱	名詞,一般,*,*,*,*,情熱,ジョウネツ,ジョーネツ
」	記号,括弧閉,*,*,*,*,」,」,」
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
本年	名詞,副詞可能,*,*,*,*,本年,ホンネン,ホンネン
三月	名詞,副詞可能,*,*,*,*,三月,サンガツ,サンガツ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ
全て	名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自治体	名詞,一般,*,*,*,*,自治体,ジチタイ,ジチタイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
創	名詞,固有名詞,一般,*,*,*,創,ソウ,ソー
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向け	動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
策定	名詞,サ変接続,*,*,*,*,策定,サクテイ,サクテイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
自分たち	名詞,固有名詞,一般,*,*,*,自分たち,ジブンタチ,ジブンタチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
未来を	名詞,固有名詞,一般,*,*,*,未来を,ミライヲ,ミライヲ
、	記号,読点,*,*,*,*,、,、,、
自分たち	名詞,固有名詞,一般,*,*,*,自分たち,ジブンタチ,ジブンタチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
創意	名詞,一般,*,*,*,*,創意,ソウイ,ソーイ
工夫	名詞,サ変接続,*,*,*,*,工夫,クフウ,クフー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
切り	動詞,自立,*,*,五段・ラ行,連用形,切る,キリ,キリ
拓く	動詞,自立,*,*,五段・カ行イ音便,基本形,拓く,ヒラク,ヒラク
。	記号,句点,*,*,*,*,。,。,。
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意欲	名詞,一般,*,*,*,*,意欲,イヨク,イヨク
